120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
136,137,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
120,121,12,13,12,13,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,120,121,120,121,108,108,108,108
136,137,12,12,12,12,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,86,134,135,134,135,108,108,108,108
120,121,12,13,120,121,120,121,120,121,120,121,120,121,120,121,120,121,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
136,137,14,86,136,137,134,135,134,135,134,135,134,135,134,135,136,137,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
120,121,108,86,120,121,24,24,24,24,24,-2147483621,-2147483622,-2147483621,-2147483622,99,120,121,12,13,108,41,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
136,137,108,86,136,137,24,24,24,24,24,-2147483605,-2147483606,-2147483605,-2147483606,99,136,137,14,15,108,45,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
120,121,108,86,120,121,24,24,24,24,24,32,33,32,33,99,120,121,120,121,12,13,12,13,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
136,137,108,86,136,137,24,24,24,24,24,-2147483608,-2147483608,40,40,99,134,135,134,135,14,15,14,15,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
120,121,108,86,120,121,156,157,24,24,24,24,24,24,24,24,24,24,143,143,143,143,143,143,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,86,-2147483647,-2147483648,-2147483647,-2147483648,-2147483647,-2147483648,-2147483647,-2147483648,-2147483647,-2147483648,-2147483647,-2147483648,-2147483647,-2147483648,108,108,108,108,108,108,108,108
136,137,108,86,136,137,158,159,24,24,24,24,24,24,24,24,24,24,143,143,143,143,143,143,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,86,-2147483645,-2147483646,-2147483645,-2147483646,-2147483645,-2147483646,-2147483645,-2147483646,-2147483645,-2147483646,-2147483645,-2147483646,-2147483645,-2147483646,108,108,108,108,108,108,108,108
120,121,108,86,120,121,120,121,120,121,120,121,120,121,120,121,120,121,120,121,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,108,86,-2147483647,-2147483648,4,4,4,4,4,4,4,4,4,5,-2147483647,-2147483648,108,108,108,108,108,108,120,121
